DATE,PREC,SPEC_HUM,REL_HUM,SURF_PRESS,T2MDEW,T2M_MAX,T2M_MIN,T2M,WS10M,WS50M
1/1/00,0.24,5.1,78.21,98.37,3.76,11.4,4.62,7.36,1.82,2.63
1/2/00,0.23,4.05,68.09,98.92,0.15,10.83,3.7,6.1,3.53,4.92
1/3/00,0,3.15,49.75,99.41,-2.79,15.17,0.72,7.11,1.19,1.69
1/4/00,0.03,3.42,49.18,99.32,-1.73,15.86,4.56,8.45,1.65,2.34
1/5/00,0.06,4.19,68.32,98.92,0.81,13.06,3.07,6.58,1.59,2.17
1/6/00,0.05,1.76,23.21,99.2,-10.25,18.99,2.3,9.73,2.17,3.39
1/7/00,0.01,2.12,29.96,99.05,-7.83,15.68,3.38,8.67,1.33,1.8
1/8/00,0.03,3.02,47.24,98.9,-3.48,14.34,1.82,7.17,1.28,1.63
1/9/00,0.02,4.68,70.12,98.89,2.55,13.86,2.92,7.78,1.33,1.78
1/10/00,0,5.25,80.48,98.76,4.18,13.42,2.69,7.43,1.45,1.98
1/11/00,0.15,5.7,77.86,98.61,5.27,14.53,4.11,9.09,1.28,2.03
1/12/00,0.07,5.83,67.54,98.69,5.48,17.89,7.88,11.58,1.67,2.38
1/13/00,0,4.47,47.47,98.81,1.37,23.3,6.24,12.91,1.84,2.89
1/14/00,0.09,4.35,45.22,98.62,1.34,18.94,9.58,13.24,1.62,2.39
1/15/00,0.58,5.07,46.62,98.21,3.53,22.46,10.85,15.04,2.05,3.4
1/16/00,1.32,7.29,77.88,98.53,8.93,14.74,11.14,12.76,1.8,3.05
1/17/00,5.74,8.48,88.09,98.57,11.23,16.54,10.94,13.19,1.65,2.85
1/18/00,2.77,8.43,75.59,98.53,11.15,20.65,12.37,15.45,2.09,3.45
1/19/00,0.13,8.3,77.29,98.56,10.91,20.03,10.87,14.88,1.63,2.4
1/20/00,0.29,8.34,82.09,98.41,10.98,18.04,11.02,14,1.89,2.98
1/21/00,0.05,5.8,70.83,98.42,5.55,14.9,8.36,10.74,1.87,2.59
1/22/00,0.22,5.59,71.13,98.41,5.04,16.15,5.74,10.13,1.43,2.14
1/23/00,9.95,6.96,79.29,98.5,8.09,15.87,8.61,11.8,2.08,3.58
1/24/00,12.61,8.5,89.02,98.39,11.23,15.67,11.41,13.03,2.77,4.45
1/25/00,9.25,7.88,85.58,98.22,10.08,16.21,9.3,12.47,2.84,4.38
1/26/00,1.03,5.98,81.08,98.62,6.08,14.05,6.4,9.22,3.15,4.33
1/27/00,0.08,5.19,72.38,98.78,3.99,15.13,4.61,8.82,1.23,1.62
1/28/00,0.05,3.36,42.08,98.58,-2.31,19.94,3.69,10.41,2.47,3.87
1/29/00,0.27,3.01,37.43,98.32,-3.87,19.6,3.8,10.47,2.76,4.35
1/30/00,4.33,6.21,76.14,98.42,6.15,16.31,6.17,10.69,3.01,4.84
1/31/00,0.61,5.47,71.12,98.91,4.76,15.01,6.57,9.87,2.14,2.92
2/1/00,0,5.37,62.6,99.1,4.59,19.18,5.13,11.54,1.16,1.64
2/2/00,0.11,4,37.31,98.64,0.27,25.33,8.98,14.89,3.31,5.11
2/3/00,0.3,3.79,36.44,98.27,-0.71,23.99,7.63,14.39,4.67,7.32
2/4/00,0.22,6.94,72.75,98.38,8.22,16.96,10.44,13.04,0.82,1.25
2/5/00,0.02,6.5,66.6,98.58,7.26,19.9,9.63,13.42,1.28,1.87
2/6/00,0,5.37,57.46,98.81,4.11,21.73,7.17,12.8,1.21,2.05
2/7/00,0.01,4.26,37.53,98.83,0.99,25.76,9.02,15.83,1.97,3.15
2/8/00,0.15,5.36,51.93,98.55,4.4,19.3,10.58,14.28,1.33,2.12
2/9/00,1.78,6.83,70.76,98.24,7.85,20.12,8.89,13.19,1.94,2.74
2/10/00,5.95,6.9,80.93,98.03,8.11,16.67,7.87,11.28,3.94,5.88
2/11/00,6.47,6.19,76.35,98.15,6.52,14.81,6.86,10.56,1.9,3.12
2/12/00,5.51,6.08,77.33,98.04,6.24,14.63,5.98,10.08,2.08,3.09
2/13/00,15.16,7.1,88.48,98.02,8.43,13.47,7.49,10.35,3.23,5.1
2/14/00,2.37,7.48,83.1,98.39,9.28,16.36,7.84,12.15,2.9,4.36
2/15/00,0.42,5.3,62.53,98.56,4.13,18.19,5.44,11.28,1.25,1.8
2/16/00,10.99,6.08,76.2,98.18,6.28,16.18,5.58,10.32,3.47,4.97
2/17/00,1.16,5.4,82.73,98.53,4.64,12.37,4.56,7.4,2.21,3.08
2/18/00,0.27,4.53,55.14,98.56,2,20.39,3.7,10.81,1.38,2.28
2/19/00,0.28,3.87,38.33,98.14,-0.2,22.29,8.28,13.9,4.46,7.2
2/20/00,7.98,5.98,63.27,97.3,5.66,16.91,9.81,12.72,7.04,10.51
2/21/00,2.65,5.53,72.17,97.75,4.84,14.41,5.89,9.65,4.94,7.43
2/22/00,1.44,6.11,79.69,98.56,6.35,15.24,5.11,9.77,1.9,3.14
2/23/00,13.18,5.65,82.73,97.98,5.09,11.05,3.58,7.97,3.4,5.46
2/24/00,0.49,4.5,71.23,98.28,2,11.74,3.21,6.89,1.94,2.69
2/25/00,0.68,4.8,65.21,98.65,2.91,15.43,3.98,9.2,1.72,2.41
2/26/00,0.7,6.07,66.77,98.64,6.16,18.92,5.87,12.35,1.17,1.58
2/27/00,10.83,6.56,80.48,97.98,7.32,14.38,6.16,10.59,4.14,6.18
2/28/00,1.23,5.6,78.69,98.47,5.15,13.97,5.13,8.65,2.53,3.57
2/29/00,3.31,5.99,82.72,98.43,6.07,13.71,5.17,8.9,2.02,3.08
3/1/00,0.73,5.24,72.18,98.57,4.17,15.5,4.97,8.98,2.05,2.73
3/2/00,2.73,5.67,75.44,98.39,5.24,14.77,5.63,9.46,2.72,3.57
3/3/00,2.88,6.07,71.79,97.98,6.18,19.34,6.19,11.15,2.39,3.7
3/4/00,1.28,6.26,72.34,97.59,6.57,18.67,4.97,11.44,2.55,3.97
3/5/00,16.51,5.76,86.04,96.77,5.18,9.27,3.62,7.5,3.04,4.77
3/6/00,1.12,4.76,68.88,97.44,2.69,13.8,3.12,8.09,2.58,4.06
3/7/00,1.18,5.62,76.89,98.13,5.12,13.8,5.29,9.01,1.69,2.68
3/8/00,7.01,5.34,76.88,98.37,4.39,12.8,5.63,8.28,2.56,4
3/9/00,0.83,5.34,74.87,98.89,4.51,14.14,4.56,8.75,1.56,2.2
3/10/00,0.03,5.39,66.18,99.11,4.62,18.22,3.78,10.76,1.78,2.37
3/11/00,0.19,6.48,71.01,98.94,7.2,20.08,6.15,12.44,2.05,2.82
3/12/00,0.02,6.63,68.39,98.38,7.5,21.27,6.55,13.29,2.01,2.85
3/13/00,0,6.84,71.16,98.41,7.96,20.79,6.92,13.16,2.33,3.3
3/14/00,0.02,7.24,73.77,98.36,8.83,20.09,7.98,13.47,2.02,2.85
3/15/00,0,7.16,69.57,98.03,8.59,21.8,8.43,14.15,2.07,3
3/16/00,0.11,6.42,64.24,98.36,6.98,20.44,8.14,13.75,2.37,3.66
3/17/00,0,6.07,65.11,98.71,6.28,21.05,5.72,12.74,2.01,2.83
3/18/00,0,6.19,58.11,98.72,6.53,23.01,7.3,14.81,1.73,2.31
3/19/00,0.01,6.94,64.86,98.14,8.15,22.38,8.41,14.77,3.21,4.77
3/20/00,0.03,4.42,52.54,97.72,1.36,19.14,3.85,11.05,2.76,4.16
3/21/00,0,3.66,40.47,98.11,-1.02,21.01,3.86,12.21,1.41,1.82
3/22/00,0.02,4.19,39.69,98.33,0.78,23.81,6.46,14.62,2.19,3.28
3/23/00,0.02,5,48.89,98.3,3.21,22.5,8.36,14.1,1.99,2.93
3/24/00,0.01,6.19,60.11,97.99,6.47,20.28,8.81,14.17,1.76,2.63
3/25/00,0.02,6.06,59.36,98.28,6.2,22.88,7.13,14.07,2.08,3.14
3/26/00,0,6.5,62.01,98.57,7.26,23.61,6.59,14.52,2.34,3.39
3/27/00,0.04,6.6,69.01,98.11,7.48,19.4,8.64,13.04,2.97,4.39
3/28/00,0.01,6.05,70.06,97.84,6.18,17.81,8.04,11.45,3.11,4.19
3/29/00,0.01,6.14,69.69,98.11,6.4,19.19,5.21,11.78,2.47,3.55
3/30/00,0,5.84,55.13,98.28,5.63,23.38,7.32,14.65,2.34,3.24
3/31/00,0,3.96,33.82,98.26,-0.32,25.7,7.88,16.23,2.47,3.83
4/1/00,0,4.32,34.43,98.26,1.04,26.64,9.28,17.3,2.45,3.7
4/2/00,0.02,5.49,37.86,98.14,4.62,29.7,10.93,19.59,2.04,2.98
4/3/00,0.03,6.86,42.72,98.47,7.92,31.54,13.35,21.28,2.06,3.05
4/4/00,0,7.3,49.55,98.44,8.91,28.11,13.12,19.87,2.01,2.78
4/5/00,0,7.69,58.54,98.11,9.7,26.09,11.02,17.97,2.35,3.49
4/6/00,0.04,7.2,59.25,98.32,8.74,25.46,9.77,16.78,2.64,3.82
4/7/00,0,6.29,48.82,98.42,6.74,27.29,9.07,17.74,2.25,3.14
4/8/00,0,5.93,46.01,98.34,5.79,27.63,10.27,17.74,2.38,3.61
4/9/00,0.02,6.4,60.8,98.27,7.03,22.1,8.09,14.55,3.21,4.74
4/10/00,0,6.27,54.97,98.19,6.71,24.09,7.49,15.79,2.07,2.76
4/11/00,0,5.94,38.4,98.22,5.77,30.97,10.93,20.65,1.62,2.3
4/12/00,0.08,6.45,38.23,98.3,7.02,32.06,14.83,22.05,2.62,3.61
4/13/00,1.07,7.51,59.39,98.21,9.33,24.23,10.64,17.39,2.99,4.09
4/14/00,1.64,6.52,66.88,97.89,7.25,18.64,9,13.31,2.7,3.65
4/15/00,0.08,6.4,64.02,97.91,6.96,19.77,8.05,13.68,1.51,2.23
4/16/00,2.29,6.34,61.05,97.81,6.77,19.02,10.5,14.26,2.97,4.44
4/17/00,20.01,7.03,72.4,97.66,8.27,16.69,7.65,13.2,4.6,6.5
4/18/00,1.32,5.72,62.98,98.21,5.42,18.36,7.29,12.28,2.54,3.74
4/19/00,0.11,5.61,55.28,98.53,5.15,21.59,6.32,14.03,2.08,2.85
4/20/00,0.45,6.35,50.88,98.13,6.83,26.04,8.75,17.17,2.81,3.9
4/21/00,0.37,7.08,55.62,97.84,8.45,24.86,11.33,17.45,3.69,5.22
4/22/00,0.05,6.98,65.98,98.38,8.33,21.44,10.37,14.63,3.81,5.32
4/23/00,0,5.38,53.12,98.41,4.4,21.26,8.05,13.99,4.42,6.04
4/24/00,0,5.42,47.12,98.3,4.56,25.67,6.99,15.93,2.62,3.68
4/25/00,0.01,6.11,47.2,98.33,6.3,27.29,9.53,17.79,3.19,4.62
4/26/00,0.03,7.22,48.66,98.09,8.67,29.58,10.35,19.94,1.91,2.45
4/27/00,0.11,6.71,43.74,97.93,7.61,29.8,13.07,20.45,3.1,4.15
4/28/00,0.24,4.9,50.84,98.29,2.95,19.3,8.65,13.2,5.55,7.36
4/29/00,0,5.01,46.13,98.45,3.5,23.87,6,15.06,2.34,3.16
4/30/00,0.04,4.96,31.93,98.32,3.07,32.03,9.33,20.73,1.68,2.4
5/1/00,0,6.38,41.63,98.1,6.9,29.35,12.13,20.46,2.49,3.68
5/2/00,0.12,7.29,49.27,97.89,8.85,28.77,12.08,19.85,3.01,4.26
5/3/00,0,6.65,45.35,97.84,7.41,29.07,11.73,19.71,3.2,4.46
5/4/00,0,6.88,46.65,97.78,7.89,29.69,11.27,19.78,2.6,3.75
5/5/00,0.02,6.1,46.69,97.88,6.21,25.89,11.31,17.88,2.56,3.86
5/6/00,0.05,5.73,45.51,98.04,5.32,26.2,9.78,17.31,2.69,3.79
5/7/00,0.14,7.62,57.69,98.25,9.56,25.16,11.61,18.1,2.58,3.33
5/8/00,0.18,8.57,63.08,98.21,11.34,25.75,13.76,18.51,2.65,3.6
5/9/00,0,7.2,51.37,98.03,8.59,27.87,11.52,19,3.85,5.39
5/10/00,0.06,5.36,48.5,97.96,4.08,21.79,8.96,15.25,5.59,7.4
5/11/00,0,3.72,38.7,98.41,-0.76,21.3,5.31,13.18,4.7,6.57
5/12/00,0,3.4,26.34,98.33,-2.4,28.42,7.04,17.76,1.77,2.62
5/13/00,0,3.97,27.27,97.95,-0.16,29.8,10.61,19.63,1.91,2.66
5/14/00,0.18,5.32,45.22,98.01,3.95,23.05,9.74,16.23,1.84,2.47
5/15/00,3.23,6.98,56.65,97.86,8.17,24.16,11,16.92,3.02,3.83
5/16/00,3.02,6.17,60.36,98.12,6.41,19.85,8.85,14.07,4.24,5.97
5/17/00,0.13,6.97,61.44,98.26,8.31,23.14,10.04,15.71,3.54,4.79
5/18/00,0.03,6.22,41.1,98.22,6.6,29.1,10.21,20.29,2.05,2.52
5/19/00,0.07,6.67,36.99,98.2,7.56,32.82,14.26,23.14,1.86,2.42
5/20/00,0.01,6.87,31.28,97.94,7.89,36.41,16.64,26.41,2.17,2.88
5/21/00,0,7.04,28.18,97.85,8.17,38.74,18.58,28.59,2.24,2.92
5/22/00,0.02,7.73,29.28,97.71,9.59,39.85,20.5,29.52,2.22,3.01
5/23/00,0.05,7.64,29.38,97.61,9.36,39.74,20.55,29.22,2.91,3.88
5/24/00,0.05,9.39,43.23,97.52,12.64,33.62,18.98,26.12,3.53,4.64
5/25/00,0.01,7.17,42.13,97.61,8.45,28.89,15.71,22.08,4.5,5.84
5/26/00,0,6.89,39.62,97.72,8.03,31.41,14.19,22.47,3.93,5.5
5/27/00,0.01,7.95,39.62,97.88,10.11,34.6,15.35,24.85,2.66,3.61
5/28/00,0.01,7.11,32.96,97.86,8.32,35.77,17.39,26.08,2.66,3.77
5/29/00,0.03,5.24,26.28,97.65,3.92,34.62,16.51,24.75,3.05,4.2
5/30/00,0.02,4.46,26.69,97.66,1.48,31.48,13.22,21.82,2.99,4.2
5/31/00,0,4.46,26.98,97.66,1.64,30.94,12.71,21.65,2.57,3.53
6/1/00,0,4.22,21.79,97.66,0.73,34.6,13.54,24.25,2.11,2.74
6/2/00,0.03,5.43,26.81,98.07,4.39,35.43,16.33,25.07,2.27,3.07
6/3/00,0.06,5.78,29.38,98.2,5.39,35.39,14.36,24.61,2.46,3.42
6/4/00,0,5.9,28.33,98.1,5.74,36.58,15.62,25.53,2.89,3.91
6/5/00,0,5.51,32.91,98.16,4.7,30.58,14.08,21.93,2.86,3.82
6/6/00,0.01,5.93,31.44,97.95,5.81,33.04,14.66,23.85,2.41,3.19
6/7/00,0.13,5.53,32.27,97.85,4.7,31.89,14.12,22.27,3,4.05
6/8/00,4.55,7.05,55.04,97.84,8.15,22.55,13.56,17.54,4.35,5.78
6/9/00,0.02,6.21,47.73,97.96,6.47,25.54,11.08,17.82,3.76,5.2
6/10/00,0,5.94,41.41,97.9,5.67,28.34,10.66,19.37,3.41,4.82
6/11/00,0,5.35,33.13,97.98,4.36,30.88,11.58,21.32,2.62,3.56
6/12/00,0,6.87,34.75,98.02,7.91,34.19,15.71,24.64,3.39,4.74
6/13/00,0.04,8.42,33.18,97.72,10.9,40.1,17.66,28.83,2.34,3.1
6/14/00,0.01,6.5,19.74,97.68,6.96,44.61,21.99,33.43,2.17,3.04
6/15/00,0.06,8.13,26.83,97.5,10.35,42.3,22.41,31.89,3.68,4.92
6/16/00,0,8.24,29.99,97.03,10.52,40.27,21.11,30.08,2.92,3.78
6/17/00,0.01,7.77,29.09,97.14,9.4,41.11,19.74,29.61,2.59,3.26
6/18/00,0.01,8.98,38.59,97.55,11.96,36.13,19.13,27.31,2.98,3.7
6/19/00,0,8.36,37,97.65,10.81,35.7,18.32,26.81,3,3.91
6/20/00,0,6.57,24.95,97.63,7.01,40.67,18.64,29.48,2.77,3.57
6/21/00,0.23,7.46,27.37,97.6,9.12,40.17,20,30.06,2.6,3.47
6/22/00,0.79,7.27,27.77,97.54,8.7,39.59,20.38,29.35,2.9,3.92
6/23/00,0.01,6.67,26.64,97.76,7.45,38.77,19.79,28.62,2.41,2.97
6/24/00,0.06,8.3,33.63,98,10.68,37.97,19.17,28.41,2.45,3.15
6/25/00,0.01,8.05,30.95,97.97,10.25,39.09,19.94,29.31,2.84,3.69
6/26/00,0.08,7.04,25.51,97.73,8.26,39.58,20.85,30.29,2.91,4.07
6/27/00,0.05,6.66,21.84,97.62,7.51,40.98,23.18,32.03,2.7,3.69
6/28/00,0.01,5.63,19.37,97.75,5.12,40.67,21.98,31.22,3.04,4.2
6/29/00,0.29,5.6,20.44,97.71,4.99,40.06,21.32,30.17,3.1,4.18
6/30/00,0,4.9,19.66,97.69,3.01,38.3,19.26,28.55,3.19,4.29
7/1/00,0.03,5,22.99,97.8,3.27,35.56,17.28,26.23,2.67,3.79
7/2/00,0,5.67,27.74,97.81,5.12,34.58,17.05,25.19,2.98,3.96
7/3/00,0.05,5.23,30.2,97.93,3.68,31.16,14.39,22.45,3.02,4.12
7/4/00,0.04,5.29,31.02,97.92,4,31.21,13.48,22.19,2.97,4.12
7/5/00,0,5.79,32.67,97.82,5.49,31.33,14.07,22.81,3.41,4.69
